text,label
The patient was diagnosed with pneumonia and started on antibiotics,1
The MRI scan revealed a small tumor in the left hemisphere of the brain,1
The blood test results indicate high levels of cholesterol,1
Administer 5 mg of the prescribed medication twice daily,1
The surgery was successful  and the patient is now in recovery,1
The patient's heart rate and blood pressure are stable,1
The patient has a history of hypertension and diabetes,1
X-rays show a fracture in the right tibia,1
The child was given a vaccination for measles,1
The patient's wound was cleaned and dressed,1
The patient is advised to rest and avoid strenuous activities,1
The biopsy results suggest a malignant tumor,1
The patient complained of chest pain and shortness of breath,1
The doctor recommended an MRI to further investigate the issue,1
The patient has been diagnosed with chronic obstructive pulmonary disease,1
The patient is experiencing severe abdominal pain,1
The lab tests confirmed the presence of a bacterial infection,1
The patient's glucose levels are higher than normal,1
The patient is allergic to penicillin,1
The patient was advised to follow a low-sodium diet,1
The patient's liver function tests came back abnormal,1
The patient is experiencing symptoms of anxiety and depression,1
The doctor prescribed a new medication to help manage the patient's pain,1
The patient was referred to a specialist for further evaluation,1
The patient's blood pressure is within the normal range,1
The patient is recovering well from the surgery,1
The patient's condition has improved with the treatment,1
The doctor recommended physical therapy for the patient's injury,1
The patient was given a tetanus shot after the injury,1
The patient's heart rate monitor showed irregular beats,1
The patient is on a ventilator in the ICU,1
The patient's lab results indicate a possible infection,1
The patient has a family history of cardiovascular disease,1
The patient's vaccination records are up to date,1
The patient is scheduled for a follow-up appointment next week,1
The patient's symptoms suggest a possible stroke,1
The doctor advised the patient to quit smoking,1
The patient was given a sedative before the procedure,1
The patient was placed on a heart monitor for observation,1
The patient is experiencing side effects from the medication,1
The patient's breathing improved after the nebulizer treatment,1
The patient was treated for dehydration with IV fluids,1
The patient is being monitored for signs of infection,1
The patient's blood sugar levels need to be closely monitored,1
The patient was given an injection to reduce the pain,1
The patient's weight has increased significantly over the past year,1
The doctor ordered a complete blood count (CBC) test,1
The patient was advised to take the medication with food,1
The patient is experiencing a rapid heartbeat,1
The patient's kidney function tests were abnormal,1
The patient is being treated for high blood pressure,1
The patient was given an antibiotic to treat the infection,1
The patient's heart rate increased during the stress test,1
The patient is at risk for developing diabetes,1
The doctor recommended a colonoscopy for further evaluation,1
The patient's cholesterol levels are higher than desired,1
The patient is experiencing dizziness and nausea,1
The patient was advised to reduce salt intake,1
The patient has a mild fever and a sore throat,1
The doctor prescribed a new inhaler for the patient's asthma,1
The patient is recovering from a recent surgery,1
The patient was given a blood transfusion,1
The patient is experiencing lower back pain,1
The patient was advised to avoid alcohol while taking this medication,1
The patient has been diagnosed with a respiratory infection,1
The patient's blood pressure medication was adjusted,1
The patient was given a flu shot during the visit,1
The patient is allergic to latex,1
The patient's wound is healing well,1
The patient was placed on a special diet due to high cholesterol,1
The patient is experiencing frequent headaches,1
The patient was referred to a neurologist,1
The patient is being treated for a urinary tract infection,1
The patient's EKG showed abnormal heart rhythms,1
The patient was prescribed medication for high blood pressure,1
The patient's vision has been deteriorating over time,1
The patient was given a sedative to calm anxiety,1
The patient's lung function test showed reduced capacity,1
The patient is experiencing symptoms of fatigue,1
The patient is scheduled for a CT scan,1
The patient's blood work indicates anemia,1
The doctor recommended a stress test for the patient,1
The patient was given pain medication after the surgery,1
The patient's condition is being closely monitored,1
The patient was diagnosed with bronchitis,1
The patient is allergic to peanuts,1
The patient was advised to take vitamins daily,1
The patient's heart condition requires medication management,1
The patient is recovering from a respiratory infection,1
The patient's cholesterol medication was adjusted,1
The patient's symptoms are consistent with a viral infection,1
The patient was referred to a cardiologist for further evaluation,1
The patient is experiencing shortness of breath,1
The patient's blood pressure was measured during the visit,1
The patient was prescribed medication for anxiety,1
The patient is experiencing pain in the lower abdomen,1
The patient's condition is stable and improving,1
The patient is being treated for an ear infection,1
The patient was advised to drink plenty of fluids,1
The patient is experiencing swelling in the legs,1
The patient was diagnosed with anemia,1
The patient's blood pressure medication was increased,1
The patient is experiencing mild chest discomfort,1
The patient was given a tetanus booster shot,1
The patient's glucose levels were monitored throughout the day,1
The patient is experiencing difficulty breathing,1
The patient's heart condition requires careful monitoring,1
The patient was referred to an endocrinologist,1
The patient was advised to exercise regularly,1
The patient's symptoms suggest a possible allergy,1
The patient is experiencing pain in the joints,1
The patient was prescribed medication for pain relief,1
The patient's blood tests show elevated liver enzymes,1
The patient was given an inhaler for asthma management,1
The patient's condition is improving with treatment,1
The patient was advised to quit smoking,1
The patient was diagnosed with a sinus infection,1
The patient's cholesterol medication was renewed,1
The patient's symptoms are consistent with a migraine,1
The patient was referred to an orthopedic specialist,1
The patient's vision has improved after cataract surgery,1
The patient's weight is being monitored closely,1
The patient was given an injection for pain management,1
The patient's symptoms suggest a gastrointestinal issue,1
The patient is experiencing difficulty sleeping,1
The patient was advised to reduce caffeine intake,1
The patient's heart rate is within the normal range,1
The patient was prescribed medication for blood pressure control,1
The patient is experiencing side effects from the medication,1
The patient's blood sugar levels were monitored,1
The patient was advised to rest and drink fluids,1
The patient was given an EKG during the visit,1
The patient's cholesterol levels are under control,1
The patient was prescribed a new cholesterol medication,1
The patient is experiencing mild nausea,1
The patient was diagnosed with a respiratory illness,1
The patient's blood pressure was monitored throughout the visit,1
The patient was referred to a specialist for further testing,1
The patient's symptoms are improving with treatment,1
The patient was prescribed medication for hypertension,1
The patient is experiencing mild chest pain,1
The patient was advised to avoid strenuous activity,1
The patient's lung function has improved with treatment,1
The patient is being monitored for signs of a heart attack,1
The patient was prescribed medication for pain management,1
The patient's blood tests indicate anemia,1
The patient was diagnosed with a bacterial infection,1
The patient is experiencing symptoms of a cold,1
The patient was advised to follow a low-fat diet,1
The patient's condition is stable and requires no further treatment,1
The patient was given a flu shot during the appointment,1
The patient's cholesterol levels were checked,1
The patient is experiencing pain in the upper back,1
The patient was referred to a gastroenterologist,1
The patient's blood pressure was measured during the visit,1
The patient is recovering from a viral infection,1
The patient was advised to take the medication with food,1
The patient's blood work indicates a deficiency,1
The patient was prescribed a new inhaler,1
The patient's weight is within the healthy range,1
The patient was advised to follow up with a specialist,1
The patient is experiencing mild swelling in the legs,1
The patient's symptoms are consistent with an allergy,1
The patient was diagnosed with a chronic condition,1
The patient's blood pressure medication was adjusted,1
The patient was advised to avoid certain foods,1
The patient's lung function test showed improvement,1
The patient is being treated for a skin infection,1
The patient was prescribed a new medication for blood pressure,1
The patient is experiencing mild headaches,1
The patient's condition is improving with medication,1
The patient was given an injection for pain relief,1
The patient's blood tests show normal levels,1
The patient was diagnosed with a respiratory condition,1
The patient is experiencing mild fatigue,1
The patient was advised to follow a low-sodium diet,1
The patient's condition is stable with no signs of infection,1
The patient was given a vaccination during the visit,1
The patient's cholesterol levels were checked during the visit,1
The patient is experiencing mild chest tightness,1
The patient was advised to avoid alcohol while taking the medication,1
The patient's heart rate is within normal limits,1
